id,name,party,partyLabel,votes,election,electionLabel,ranking
Q337970,Michelle Gildernew,Q76382,Sinn Féin,21986,Q30173038,General election 2019,1
Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,21929,Q30173038,General election 2019,2
,Adam Gannon,Q175443,Social Democratic and Labour Party,3446,Q30173038,General election 2019,3
,Matthew Beaumont,Q244927,Alliance Party of Northern Ireland,2650,Q30173038,General election 2019,4
,Caroline Wheeler,Q327591,Independent (politician),751,Q30173038,General election 2019,5
Q337970,Michelle Gildernew,Q76382,Sinn Féin,25230,Q25052149,General election 2017,1
Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,24355,Q25052149,General election 2017,2
,Mary Garrity,Q175443,Social Democratic and Labour Party,2587,Q25052149,General election 2017,3
,Noreen Campbell,Q244927,Alliance Party of Northern Ireland,886,Q25052149,General election 2017,4
,Tanya Jones,Q1096979,Green Party in Northern Ireland,423,Q25052149,General election 2017,5
Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,23608,Q3586935,General election 2015,1
Q337970,Michelle Gildernew,Q76382,Sinn Féin,23078,Q3586935,General election 2015,2
,John Coyle,Q175443,Social Democratic and Labour Party,2732,Q3586935,General election 2015,3
,Tanya Jones,Q1096979,Green Party in Northern Ireland,788,Q3586935,General election 2015,4
,Hannah Su,Q244927,Alliance Party of Northern Ireland,658,Q3586935,General election 2015,5
Q337970,Michelle Gildernew,Q76382,Sinn Féin,21304,Q215622,General election 2010,1
Q7356887,Rodney Connor,Q6017344,Independent Unionist,21300,Q215622,General election 2010,2
Q5439436,Fearghal McKinney,Q175443,Social Democratic and Labour Party,3574,Q215622,General election 2010,3
,Vasundhara Kamble,Q244927,Alliance Party of Northern Ireland,437,Q215622,General election 2010,4
,John Stevenson,Q327591,Independent (politician),188,Q215622,General election 2010,5
Q337970,Michelle Gildernew,Q76382,Sinn Féin,18638,Q428598,General election 2005,1
Q4792148,Arlene Foster,Q215519,Democratic Unionist Party,14056,Q428598,General election 2005,2
Q7815715,Tom Elliott,Q841045,Ulster Unionist Party,8869,Q428598,General election 2005,3
Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,7230,Q428598,General election 2005,4
Q337970,Michelle Gildernew,Q76382,Sinn Féin,17739,Q590740,General election 2001,1
,James Leslie Cooper,Q841045,Ulster Unionist Party,17686,Q590740,General election 2001,2
Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,9706,Q590740,General election 2001,3
,William James Dixon,Q327591,Independent (politician),6843,Q590740,General election 2001,4
Q1738633,Ken Maginnis,Q841045,Ulster Unionist Party,24862,Q918503,General election 1997,1
Q16190807,Gerry McHugh,Q76382,Sinn Féin,11174,Q918503,General election 1997,2
Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,11060,Q918503,General election 1997,3
Q7609180,Stephen Farry,Q244927,Alliance Party of Northern Ireland,977,Q918503,General election 1997,4
,Simeon Gillan,Q491782,Natural Law Party,217,Q918503,General election 1997,5
Q1738633,Ken Maginnis,Q841045,Ulster Unionist Party,26923,Q543609,General election 1992,1
Q7819429,Tommy Gallagher,Q175443,Social Democratic and Labour Party,12810,Q543609,General election 1992,2
Q5479812,Francie Molloy,Q76382,Sinn Féin,12604,Q543609,General election 1992,3
,David Kettyles,,,1094,Q543609,General election 1992,4
